ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1107 (rho index = 72), theta = 172.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1106 (rho index = 73), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1106 (rho index = 73), theta = 171.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1106 (rho index = 73), theta = 172.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1105 (rho index = 74), theta = 170.
ERROR: BRAM accum_buff[11]: 1 != 2 at rho = -1105 (rho index = 74), theta = 171.
ERROR: BRAM accum_buff[10]: 1 != 2 at rho = -1104 (rho index = 75), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1104 (rho index = 75), theta = 171.
ERROR: BRAM accum_buff[11]: 1 != 2 at rho = -1103 (rho index = 76), theta = 171.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1103 (rho index = 76), theta = 179.
ERROR: BRAM accum_buff[9]: 0 != 1 at rho = -1102 (rho index = 77), theta = 169.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1102 (rho index = 77), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1102 (rho index = 77), theta = 171.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1102 (rho index = 77), theta = 178.
ERROR: BRAM accum_buff[9]: 0 != 1 at rho = -1101 (rho index = 78), theta = 169.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1101 (rho index = 78), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1101 (rho index = 78), theta = 171.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1101 (rho index = 78), theta = 177.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1101 (rho index = 78), theta = 179.
ERROR: BRAM accum_buff[9]: 0 != 1 at rho = -1100 (rho index = 79), theta = 169.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1100 (rho index = 79), theta = 170.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1100 (rho index = 79), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1100 (rho index = 79), theta = 176.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1100 (rho index = 79), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1100 (rho index = 79), theta = 179.
ERROR: BRAM accum_buff[9]: 1 != 2 at rho = -1099 (rho index = 80), theta = 169.
ERROR: BRAM accum_buff[0]: 1 != 2 at rho = -1099 (rho index = 80), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1099 (rho index = 80), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1099 (rho index = 80), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1099 (rho index = 80), theta = 179.
ERROR: BRAM accum_buff[9]: 0 != 1 at rho = -1098 (rho index = 81), theta = 169.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1098 (rho index = 81), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1098 (rho index = 81), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1098 (rho index = 81), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1098 (rho index = 81), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1098 (rho index = 81), theta = 179.
ERROR: BRAM accum_buff[8]: 0 != 1 at rho = -1097 (rho index = 82), theta = 168.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1097 (rho index = 82), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1097 (rho index = 82), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1097 (rho index = 82), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1097 (rho index = 82), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1097 (rho index = 82), theta = 179.
ERROR: BRAM accum_buff[8]: 0 != 1 at rho = -1096 (rho index = 83), theta = 168.
ERROR: BRAM accum_buff[9]: 0 != 1 at rho = -1096 (rho index = 83), theta = 169.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1096 (rho index = 83), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1096 (rho index = 83), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 1 at rho = -1096 (rho index = 83), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 1 at rho = -1096 (rho index = 83), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 1 at rho = -1096 (rho index = 83), theta = 179.
ERROR: BRAM accum_buff[8]: 0 != 1 at rho = -1095 (rho index = 84), theta = 168.
ERROR: BRAM accum_buff[9]: 0 != 2 at rho = -1095 (rho index = 84), theta = 169.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1095 (rho index = 84), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 1 at rho = -1095 (rho index = 84), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 1 at rho = -1095 (rho index = 84), theta = 176.
